subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
G,D,270.0,330.0,300.0,0.2576305700922306,4.150008489345726,-13.05667246979034,0.75,0.31333333333333335,6.0,1
G,D,300.0,360.0,330.0,0.2587333568312999,3.264813105271891,-17.28999688120824,0.74,0.25,6.0,1
G,D,330.0,390.0,360.0,0.260013091962461,1.0278900953729715,-27.537107894743883,0.42,0.3466666666666667,6.0,1
H,A,0.0,60.0,30.0,0.29175768590674883,9.087713635114694,20.97328288452986,0.37,0.5833333333333334,2.0,0
H,A,30.0,90.0,60.0,0.29252836078045213,7.88150757919964,25.40322083845378,0.22,0.5033333333333333,2.0,0
H,A,60.0,120.0,90.0,0.2845416176733873,8.256122108634392,63.17041815710468,0.63,0.22333333333333333,2.0,0
H,A,90.0,150.0,120.0,0.2923943530809258,10.23197107316272,58.02931788226656,0.22,0.84,2.0,0
H,A,120.0,180.0,150.0,0.29287886986896994,9.90060707766882,57.78455400879363,0.2,0.77,2.0,0
H,A,150.0,210.0,180.0,0.29377732466244394,8.876158893205552,57.979485808459614,0.38,0.6633333333333333,3.0,0
H,A,180.0,240.0,210.0,0.2871592426225785,7.386337190091004,53.76083963561937,0.35,0.52,3.0,0
H,A,270.0,330.0,300.0,0.291479126882078,8.870333977601934,60.543829621926804,0.41,0.5733333333333334,4.0,0
H,A,300.0,360.0,330.0,0.29355565119291793,8.558898423691383,65.33955774161721,0.76,0.6366666666666667,4.0,0
H,A,360.0,420.0,390.0,0.27628504324243347,9.31179453876331,62.16391750822245,0.6,0.7366666666666667,4.0,0
H,A,390.0,450.0,420.0,0.2850778075503169,8.466960187179431,62.516791919947586,0.72,0.37,4.0,0
H,A,420.0,480.0,450.0,0.2727135789462848,8.477143953047609,58.54380872554363,0.69,0.46,4.0,0
H,A,480.0,540.0,510.0,0.2931981206033233,9.2147372591402,52.96120188722042,0.33,0.6466666666666666,4.0,0
H,D,0.0,60.0,30.0,0.25176627322985884,6.081027787042432,-28.005350513496218,0.61,0.4,6.0,1
H,D,30.0,90.0,60.0,0.2519782916301284,2.8720582997491184,-19.144638047838637,0.71,0.4033333333333333,6.0,1
H,D,60.0,120.0,90.0,0.24183923044165268,3.129979411102941,-43.28806070940849,0.56,0.30666666666666664,6.0,1
H,D,90.0,150.0,120.0,0.2359987919546017,2.9000106364027385,-42.75347970856512,0.68,0.35333333333333333,7.0,1
H,D,120.0,180.0,150.0,0.23763958512900693,2.8459108844748027,-40.17796830131771,0.65,0.57,7.0,1
H,D,150.0,210.0,180.0,0.2429300596628626,2.1434219837831434,-37.309491844589566,0.54,0.4266666666666667,7.0,1
H,D,180.0,240.0,210.0,0.24904549224006417,1.1334618640405738,-40.69564726920486,0.35,0.38666666666666666,7.0,1
H,D,210.0,270.0,240.0,0.2570237889352296,2.5812185815719557,-49.88376599887155,0.64,0.16,7.0,1
H,D,240.0,300.0,270.0,0.25808415663922907,1.3630360748735761,-37.80271300713467,0.72,0.3233333333333333,7.0,1
H,D,270.0,330.0,300.0,0.2460820536353767,3.0408633956412277,-27.997694075315064,0.68,0.5366666666666666,7.0,1
H,D,300.0,360.0,330.0,0.2424321816641814,6.7487561928193704,-9.041855831621493,0.68,0.43,7.0,1
H,D,330.0,390.0,360.0,0.25208594557141534,8.078704643999915,15.639548255598276,0.44,0.28,8.0,1
H,D,360.0,420.0,390.0,0.2557606377470386,8.655049221729069,6.225234501704404,0.47,0.31333333333333335,8.0,1
H,D,390.0,450.0,420.0,0.25474221368285255,6.891376167848675,-12.668270125000962,0.54,0.43666666666666665,8.0,1
H,D,420.0,480.0,450.0,0.24486368757467764,6.203582345723396,-25.790581786847287,0.56,0.7,8.0,1
H,D,450.0,510.0,480.0,0.24516828617071415,8.349038294260284,-50.610639379558485,0.72,0.21333333333333335,9.0,1
H,D,480.0,540.0,510.0,0.2580835946664924,8.730659729577528,-54.55084186004122,0.73,0.3,9.0,1
H,D,510.0,570.0,540.0,0.23486945886546495,7.394409313121668,0.32950120136196215,0.37,0.4533333333333333,9.0,1
H,D,540.0,600.0,570.0,0.2288881649684496,0.16215464922414094,40.88555853311898,0.54,0.4166666666666667,9.0,1
J,D,0.0,60.0,30.0,0.27985842289938634,-8.052004361324745,-45.69064455714728,0.25,0.4666666666666667,7.0,1
J,D,30.0,90.0,60.0,0.27972002085795744,-6.644475364026145,-47.036604495200365,0.39,0.5366666666666666,7.0,1
J,D,60.0,120.0,90.0,0.26255718128534905,-10.090079450555548,-60.25038856597988,0.03,0.3933333333333333,7.0,1
J,D,90.0,150.0,120.0,0.2711678370634484,-13.383052182184072,-55.03813974477496,0.08,0.3566666666666667,8.0,1
J,D,120.0,180.0,150.0,0.27956820469912685,-16.220001074774277,-54.08633350355373,0.23,0.25666666666666665,8.0,1
J,D,150.0,210.0,180.0,0.262456911081153,-5.770737932803843,-55.971555723795476,0.03,0.2,8.0,1
J,D,180.0,240.0,210.0,0.2655397129860651,-6.754612629955079,-53.890128753380345,0.04,0.43333333333333335,8.0,1
J,D,210.0,270.0,240.0,0.27250947746791715,-19.94833948242562,-62.79397051718413,0.4,0.38,8.0,1
J,D,240.0,300.0,270.0,0.2804686573984872,-23.054101934292678,-67.89525742141525,0.47,0.2866666666666667,8.0,1
J,D,270.0,330.0,300.0,0.26197235798990093,-14.187166063800074,-50.07579526943726,0.13,0.4033333333333333,8.0,1
J,D,300.0,360.0,330.0,0.27323034483830394,-9.857412617282247,-14.022362447834443,0.1,0.36666666666666664,8.0,1
J,D,450.0,510.0,480.0,0.27791665294021173,-11.197410382663394,-57.05519221191148,0.15,0.64,8.0,1
J,D,480.0,540.0,510.0,0.28202887857478837,-7.303722178331389,-57.54453174360952,0.07,0.46,8.0,1
J,D,510.0,570.0,540.0,0.2894365334715616,-8.021959334253008,-65.37814912906448,0.12,0.41,9.0,1
J,D,540.0,600.0,570.0,0.28840567358728697,-5.427801361401658,-47.26620567487643,0.54,0.31666666666666665,9.0,1
K,A,0.0,60.0,30.0,0.2741063722371437,3.497582760541447,30.397924237037582,0.54,0.37666666666666665,3.0,0
K,A,30.0,90.0,60.0,0.27030540350411775,3.2788244662316495,27.094397057829834,0.56,0.24666666666666667,4.0,0
K,A,60.0,120.0,90.0,0.2479143816277378,5.532234921388375,54.4134539843409,0.34,0.32666666666666666,4.0,0
K,A,90.0,150.0,120.0,0.24249248348087807,5.326085441519879,59.99819995235717,0.81,0.38333333333333336,5.0,0
K,A,300.0,360.0,330.0,0.23753674673143085,4.73719907285097,1.3360458484761442,0.6,0.30666666666666664,5.0,0
K,A,330.0,390.0,360.0,0.22856536862383886,3.931801876172126,13.414944747342977,0.53,0.22666666666666666,6.0,1
K,A,360.0,420.0,390.0,0.22222219364916054,2.1557324279042778,15.263647155146852,0.24,0.3466666666666667,6.0,1
K,D,60.0,120.0,90.0,0.24852693979796847,16.216603994366732,66.20673061774148,0.52,0.27666666666666667,6.0,1
K,D,90.0,150.0,120.0,0.22719072604844548,16.00935131824635,65.0675894093092,0.58,0.3466666666666667,7.0,1
K,D,300.0,360.0,330.0,0.24100952922390642,18.47182554058692,62.03486126028478,0.64,0.4533333333333333,7.0,1
K,D,450.0,510.0,480.0,0.23782136945702007,17.12317005417596,66.32840774982199,0.63,0.31666666666666665,8.0,1
K,D,480.0,540.0,510.0,0.2259661697149072,17.553512902544973,64.32494357925819,0.69,0.36,8.0,1
K,D,510.0,570.0,540.0,0.2177268232538033,10.706660449653185,44.80581365746509,0.82,0.32666666666666666,8.0,1
K,D,540.0,600.0,570.0,0.21902530300496176,0.15402510077012088,12.646855383189346,0.57,0.27666666666666667,8.0,1
L,A,60.0,120.0,90.0,0.26409388099373476,-13.771078373670742,-67.29628737845103,0.23,0.4,5.0,0
L,A,90.0,150.0,120.0,0.2744320060557465,-13.366302542017092,-67.00804037426205,0.15,0.36333333333333334,4.0,0
L,A,270.0,330.0,300.0,0.27414069110420924,-11.740135912497191,-55.624407055462726,0.1,0.47333333333333333,6.0,1
N,D,0.0,60.0,30.0,0.217313272306374,-5.132340168715158,38.172632233181,0.33,0.4166666666666667,8.0,1
N,D,30.0,90.0,60.0,0.21904249080462893,-7.148551781690034,36.117731599841846,0.17,0.17,7.0,1
N,D,60.0,120.0,90.0,0.22605349300642527,-10.243545894961821,52.74330564889229,0.45,0.17333333333333334,7.0,1
N,D,90.0,150.0,120.0,0.2295081159307891,-4.0450165210753015,36.442790225528725,0.16,0.39666666666666667,7.0,1
N,D,120.0,180.0,150.0,0.22083613807360156,-0.24062090594599617,25.435713598105682,0.41,0.5333333333333333,7.0,1
N,D,150.0,210.0,180.0,0.21686893228507614,-0.03390006021293575,24.31695402549123,0.57,0.7133333333333334,7.0,1
N,D,240.0,300.0,270.0,0.21681494858385067,-9.541701474534543,54.25965093439232,0.33,0.44666666666666666,7.0,1
N,D,270.0,330.0,300.0,0.214408379299061,-7.675309387020129,46.197341662491816,0.29,0.4166666666666667,7.0,1
N,D,300.0,360.0,330.0,0.21406823953182144,-7.622622670484749,46.52133580677798,0.34,0.20666666666666667,7.0,1
N,D,330.0,390.0,360.0,0.2146412931386381,-7.435368899284571,47.129662673813144,0.32,0.17333333333333334,7.0,1
N,D,360.0,420.0,390.0,0.21890016535709475,-9.57392095462661,53.49311828840098,0.39,0.30333333333333334,7.0,1
N,D,390.0,450.0,420.0,0.2186414787272479,-10.599849643064603,54.539518958867184,0.28,0.20333333333333334,7.0,1
N,D,420.0,480.0,450.0,0.21576811223017495,-6.146182933719555,42.505310144389995,0.58,0.24333333333333335,7.0,1
N,D,450.0,510.0,480.0,0.21540230369735447,-6.698719614539308,46.52454386091183,0.55,0.5033333333333333,8.0,1
N,D,480.0,540.0,510.0,0.21394672213513424,-9.609781741208089,58.17183396438485,0.46,0.6466666666666666,8.0,1
N,D,510.0,570.0,540.0,0.21194645364946998,-4.297234752409998,32.696707128859025,0.56,0.5133333333333333,8.0,1
N,D,540.0,600.0,570.0,0.21922460522906953,0.8220110170138591,3.905876571414365,0.43,0.7066666666666667,8.0,1
O,A,0.0,60.0,30.0,0.28692665371656506,-0.4616745177629472,59.508749873486956,0.18,0.3233333333333333,1.0,0
O,A,210.0,270.0,240.0,0.27996908196069126,-0.5422134532040896,63.97558434722605,0.23,0.51,3.0,0
O,A,240.0,300.0,270.0,0.27622172395548544,-0.22470771195599984,63.818665022175374,0.15,0.29,3.0,0
O,A,390.0,450.0,420.0,0.28481190741299334,-2.163732181201523,65.22766698945344,0.8,0.3566666666666667,4.0,0
O,A,420.0,480.0,450.0,0.28133712271223826,-1.9694269479173896,63.91292062711329,0.2,0.48333333333333334,4.0,0
O,A,450.0,510.0,480.0,0.2816437351765558,-1.9544636980116639,63.811952918836255,0.15,0.30666666666666664,4.0,0
O,A,480.0,540.0,510.0,0.2874827011419467,-2.223985773573808,64.99865393088062,0.55,0.38666666666666666,4.0,0
O,A,510.0,570.0,540.0,0.2866290653116336,-2.2649995472653854,64.96658136552821,0.74,0.4,4.0,0
O,A,540.0,600.0,570.0,0.28447106736567035,-1.9923475204883117,64.90225904053915,0.75,0.36666666666666664,4.0,0
